path,category,subcategory,production_required,research_required,test_required,referenced,reference_count,runtime_dependency,model_dependency,safe_remove_candidate,group,confidence,reason
.gitignore,F. CONFIGURATION,Git Configuration,YES,NO,NO,YES,5,Git version control,None,NO,GROUP A — MUST KEEP,HIGH,Standard Git ignore rules preventing repository bloat and credential exposure.
.vscode/settings.json,F. CONFIGURATION,IDE Editor Configuration,NO,NO,NO,YES,3,None,None,NO,GROUP A — MUST KEEP,HIGH,Workspace IDE configuration settings.
README.md,J. RESEARCH REPORT / DOCUMENTATION,Project Documentation,NO,YES,NO,YES,5,Developer onboarding & documentation,None,NO,GROUP A — MUST KEEP,HIGH,"Primary repository readme documenting architecture, features, and setup."
backend/.env,F. CONFIGURATION,Backend Environment & Package Config,YES,NO,NO,YES,15,Node.js runtime & environment variables,None,NO,GROUP A — MUST KEEP,HIGH,"Backend dependencies, run scripts, and local environment configuration."
backend/package-lock.json,F. CONFIGURATION,Backend Environment & Package Config,YES,NO,NO,YES,5,Node.js runtime & environment variables,None,NO,GROUP A — MUST KEEP,HIGH,"Backend dependencies, run scripts, and local environment configuration."
backend/package.json,F. CONFIGURATION,Backend Environment & Package Config,YES,NO,NO,YES,5,Node.js runtime & environment variables,None,NO,GROUP A — MUST KEEP,HIGH,"Backend dependencies, run scripts, and local environment configuration."
backend/server.js,B. PRODUCTION BACKEND CODE,Backend Server Entry Point,YES,NO,NO,YES,11,Node.js Express Server Startup,None,NO,GROUP A — MUST KEEP,HIGH,"Primary Express.js server initialization, middleware mount, and route registration."
backend/src/config/db.js,F. CONFIGURATION,Database Connection Config,YES,NO,NO,YES,6,Mongoose MongoDB Atlas Cluster,None,NO,GROUP A — MUST KEEP,HIGH,Mongoose database connection configuration and event listeners.
backend/src/constants/dailyChallenges.js,B. PRODUCTION BACKEND CODE,Backend Application Constant,YES,NO,NO,YES,2,Daily Challenge Controller & Services,None,NO,GROUP A — MUST KEEP,HIGH,Static business constants defining daily challenges and quest specifications.
backend/src/controllers/achievementController.js,B. PRODUCTION BACKEND CODE,Express Controller,YES,NO,NO,YES,2,Express Routes / Business Logic,None,NO,GROUP A — MUST KEEP,HIGH,Request handler controller executing business logic and database queries (achievementController.js).
backend/src/controllers/analyticsController.js,B. PRODUCTION BACKEND CODE,Express Controller,YES,NO,NO,YES,2,Express Routes / Business Logic,None,NO,GROUP A — MUST KEEP,HIGH,Request handler controller executing business logic and database queries (analyticsController.js).
backend/src/controllers/authController.js,B. PRODUCTION BACKEND CODE,Express Controller,YES,NO,NO,YES,4,Express Routes / Business Logic,None,NO,GROUP A — MUST KEEP,HIGH,Request handler controller executing business logic and database queries (authController.js).
backend/src/controllers/dailyChallengeController.js,B. PRODUCTION BACKEND CODE,Express Controller,YES,NO,NO,YES,2,Express Routes / Business Logic,None,NO,GROUP A — MUST KEEP,HIGH,Request handler controller executing business logic and database queries (dailyChallengeController.js).
backend/src/controllers/dashboardController.js,B. PRODUCTION BACKEND CODE,Express Controller,YES,NO,NO,YES,2,Express Routes / Business Logic,None,NO,GROUP A — MUST KEEP,HIGH,Request handler controller executing business logic and database queries (dashboardController.js).
backend/src/controllers/focusSessionController.js,B. PRODUCTION BACKEND CODE,Express Controller,YES,NO,NO,YES,4,Express Routes / Business Logic,None,NO,GROUP A — MUST KEEP,HIGH,Request handler controller executing business logic and database queries (focusSessionController.js).
